,AgeGroup,Gender,MaritalStatus,Attrition,BusinessTravel,DistanceFrom_Home,Department,Education,EducationField,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,HourlyRate,DailyRate,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
389,30-39,Male,Single,No,Travel Rarely,Very Close,Research & Development,Master,Life Sciences,High,High,Lvl 2,Manufacturing Director,Medium,49,1305,4197,21123,2,Yes,12,Excellent,Very High,80,Lvl 0,11-20 years,2 years,Good,0-10 years,0 year,0 year,1 years
390,40-49,Male,Divorced,No,Travel Rarely,Close,Research & Development,Bachelor,Life Sciences,Low,Medium,Lvl 4,Research Director,Medium,59,982,14336,4345,1,No,11,Excellent,High,80,Lvl 1,21-29 years,3 years,Better,21-29 years,10 years,3 years,9 years
391,40-49,Female,Married,No,Travel Rarely,Very Close,Research & Development,Bachelor,Medical,Medium,Medium,Lvl 2,Laboratory Technician,High,78,555,3448,13436,6,No,22,Outstanding,Medium,80,Lvl 1,21-29 years,3 years,Better,0-10 years,0 year,0 year,0 year
392,50-59,Male,Married,No,Travel Rarely,Very Close,Research & Development,College,Medical,Low,High,Lvl 5,Research Director,Low,86,821,19406,8509,4,No,11,Excellent,High,80,Lvl 1,21-29 years,4 years,Good,0-10 years,2 years,1 years,2 years
393,30-39,Female,Married,No,Non Travel,Very Close,Sales,Master,Marketing,High,High,Lvl 2,Sales Executive,High,72,1381,6538,12740,9,No,15,Excellent,Low,80,Lvl 1,0-10 years,3 years,Better,0-10 years,2 years,1 years,2 years
394,30-39,Female,Married,No,Travel Rarely,Very Close,Research & Development,College,Medical,Medium,High,Lvl 2,Manufacturing Director,Low,31,480,4306,4156,1,No,12,Excellent,Medium,80,Lvl 1,11-20 years,5 years,Bad,11-20 years,10 years,3 years,12 years
395,40-49,Male,Married,No,Travel Frequently,Far,Research & Development,Bachelor,Medical,Very High,High,Lvl 1,Laboratory Technician,Very High,61,313,2258,15238,7,No,20,Outstanding,Low,80,Lvl 1,0-10 years,1 years,Better,0-10 years,2 years,1 years,2 years
396,40-49,Female,Divorced,No,Travel Rarely,Very Close,Research & Development,Master,Other,High,High,Lvl 2,Healthcare Representative,High,74,1473,4522,2227,4,Yes,14,Excellent,Very High,80,Lvl 0,0-10 years,3 years,Better,0-10 years,2 years,0 year,2 years
397,20-29,Female,Single,No,Travel Rarely,Very Close,Sales,College,Life Sciences,Medium,Medium,Lvl 2,Sales Executive,Very High,99,891,4487,12090,1,Yes,11,Excellent,Medium,80,Lvl 0,0-10 years,3 years,Better,0-10 years,4 years,1 years,3 years
398,30-39,Female,Married,No,Non Travel,Far,Research & Development,Doctor,Medical,Medium,High,Lvl 2,Research Scientist,High,72,1063,4449,23866,3,Yes,15,Excellent,Low,80,Lvl 2,11-20 years,2 years,Better,11-20 years,11 years,10 years,7 years
399,30-39,Male,Married,No,Travel Rarely,Very Close,Research & Development,College,Life Sciences,Very High,Medium,Lvl 1,Laboratory Technician,Low,98,329,2218,16193,1,No,12,Excellent,High,80,Lvl 1,0-10 years,3 years,Better,0-10 years,2 years,3 years,2 years
400,30-39,Male,Divorced,No,Travel Frequently,Very Close,Research & Development,Below College,Life Sciences,Medium,High,Lvl 5,Manager,High,52,1218,19197,8213,1,Yes,14,Excellent,High,80,Lvl 1,21-29 years,3 years,Better,21-29 years,8 years,1 years,6 years
401,50-59,Female,Married,No,Travel Frequently,Very Close,Sales,Bachelor,Life Sciences,High,Very High,Lvl 4,Sales Executive,Low,86,906,13212,18256,9,No,11,Excellent,Very High,80,Lvl 3,31-40 years,0 year,Good,0-10 years,7 years,7 years,7 years
402,30-39,Female,Single,No,Travel Rarely,Close,Sales,Bachelor,Technical Degree,Medium,High,Lvl 2,Sales Executive,High,83,1082,6577,19558,0,No,11,Excellent,Medium,80,Lvl 0,0-10 years,6 years,Better,0-10 years,4 years,4 years,4 years
403,40-49,Male,Married,No,Travel Rarely,Very Close,Sales,Bachelor,Marketing,Medium,Very High,Lvl 3,Sales Executive,Low,49,645,8392,19566,1,No,16,Excellent,High,80,Lvl 1,11-20 years,2 years,Better,11-20 years,7 years,0 year,7 years
404,20-29,Male,Divorced,No,Travel Rarely,Close,Research & Development,College,Medical,High,High,Lvl 2,Laboratory Technician,Low,79,1300,4558,13535,1,No,12,Excellent,Very High,80,Lvl 1,11-20 years,2 years,Better,11-20 years,0 year,1 years,8 years
405,20-29,Male,Married,Yes,Travel Rarely,Very Close,Research & Development,Bachelor,Medical,Low,High,Lvl 1,Laboratory Technician,Low,91,688,4031,9396,5,No,13,Excellent,High,80,Lvl 1,0-10 years,5 years,Better,0-10 years,2 years,0 year,2 years
406,50-59,Male,Married,No,Travel Rarely,Very Close,Research & Development,Bachelor,Medical,Very High,Medium,Lvl 3,Manufacturing Director,High,39,319,7969,19609,2,Yes,14,Excellent,High,80,Lvl 0,21-29 years,4 years,Better,0-10 years,4 years,0 year,4 years
407,40-49,Male,Married,No,Travel Rarely,Very Close,Research & Development,College,Life Sciences,Low,High,Lvl 1,Research Scientist,Very High,69,192,2654,9655,3,No,21,Outstanding,Very High,80,Lvl 2,0-10 years,3 years,Good,0-10 years,2 years,0 year,2 years
408,50-59,Female,Married,No,Travel Rarely,Very Close,Research & Development,College,Life Sciences,Very High,High,Lvl 4,Manager,Very High,30,1490,16555,10310,2,No,13,Excellent,Very High,80,Lvl 0,31-40 years,2 years,Bad,0-10 years,2 years,1 years,4 years
409,40-49,Female,Divorced,No,Travel Frequently,Far,Research & Development,College,Life Sciences,Low,High,Lvl 2,Research Scientist,High,92,532,4556,12932,2,No,11,Excellent,Medium,80,Lvl 1,11-20 years,3 years,Better,0-10 years,4 years,0 year,2 years
410,30-39,Female,Single,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,High,Low,Lvl 2,Manufacturing Director,Very High,43,317,6091,24793,2,No,20,Outstanding,High,80,Lvl 0,11-20 years,2 years,Better,0-10 years,4 years,0 year,2 years
411,60+,Female,Married,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,Low,High,Lvl 5,Manager,Low,41,422,19566,3854,5,No,11,Excellent,Very High,80,Lvl 0,31-40 years,5 years,Bad,21-29 years,8 years,11 years,10 years
412,40-49,Female,Divorced,No,Travel Rarely,Close,Research & Development,Bachelor,Medical,High,High,Lvl 2,Manufacturing Director,High,87,1485,4810,26314,2,No,14,Excellent,High,80,Lvl 1,11-20 years,5 years,Good,11-20 years,7 years,0 year,8 years
413,40-49,Female,Married,No,Travel Frequently,Far,Research & Development,Master,Technical Degree,Very High,Medium,Lvl 2,Healthcare Representative,Very High,88,1368,4523,4386,0,No,11,Excellent,Very High,80,Lvl 3,0-10 years,4 years,Best,0-10 years,5 years,0 year,4 years
414,20-29,Female,Single,Yes,Travel Rarely,Very Close,Sales,Below College,Technical Degree,Low,High,Lvl 1,Sales Representative,Medium,62,1448,3202,21972,1,Yes,16,Excellent,Medium,80,Lvl 0,0-10 years,4 years,Better,0-10 years,3 years,1 years,4 years
415,30-39,Female,Divorced,Yes,Travel Frequently,Very Close,Sales,College,Marketing,Very High,Low,Lvl 1,Sales Representative,High,33,296,2351,12253,0,No,16,Excellent,Very High,80,Lvl 1,0-10 years,3 years,Good,0-10 years,2 years,1 years,0 year
416,30-39,Male,Married,No,Travel Frequently,Very Close,Research & Development,College,Life Sciences,Very High,High,Lvl 1,Laboratory Technician,Very High,42,1490,1702,12106,1,Yes,23,Outstanding,High,80,Lvl 1,0-10 years,3 years,Better,0-10 years,0 year,0 year,0 year
417,40-49,Female,Married,No,Travel Rarely,Very Close,Sales,Master,Life Sciences,High,High,Lvl 5,Manager,High,79,1398,18041,13022,0,No,14,Excellent,Very High,80,Lvl 0,21-29 years,2 years,Better,21-29 years,15 years,1 years,12 years
418,20-29,Female,Divorced,No,Travel Rarely,Far,Research & Development,Bachelor,Life Sciences,Low,High,Lvl 1,Research Scientist,Very High,90,1349,2886,3032,1,No,22,Outstanding,Medium,80,Lvl 2,0-10 years,3 years,Bad,0-10 years,2 years,0 year,2 years
419,30-39,Male,Married,No,Non Travel,Very Close,Research & Development,Bachelor,Life Sciences,High,High,Lvl 1,Laboratory Technician,Very High,53,1400,2097,16734,4,No,15,Excellent,High,80,Lvl 1,0-10 years,3 years,Bad,0-10 years,3 years,1 years,4 years
420,20-29,Male,Married,No,Travel Rarely,Very Close,Research & Development,Master,Medical,Medium,Medium,Lvl 3,Research Director,High,93,986,11935,21526,1,No,18,Excellent,High,80,Lvl 0,11-20 years,2 years,Better,11-20 years,2 years,0 year,7 years
421,20-29,Female,Married,Yes,Travel Rarely,Far,Research & Development,Doctor,Technical Degree,High,Medium,Lvl 1,Research Scientist,Medium,71,408,2546,18300,5,No,16,Excellent,Medium,80,Lvl 0,0-10 years,2 years,Best,0-10 years,2 years,1 years,1 years
422,<20,Male,Single,Yes,Travel Rarely,Very Close,Human Resources,College,Technical Degree,Low,Medium,Lvl 1,Human Resources,Very High,52,489,2564,18437,1,No,12,Excellent,High,80,Lvl 0,0-10 years,3 years,Best,0-10 years,0 year,0 year,0 year
423,30-39,Female,Married,No,Non Travel,Far,Sales,Master,Other,High,High,Lvl 3,Sales Executive,Low,69,1398,8412,2890,0,No,11,Excellent,High,80,Lvl 0,11-20 years,3 years,Better,0-10 years,8 years,7 years,8 years
424,50-59,Male,Divorced,No,Travel Rarely,Far,Sales,Bachelor,Marketing,Low,Medium,Lvl 4,Manager,Very High,56,210,14118,22102,3,No,12,Excellent,High,80,Lvl 1,31-40 years,3 years,Good,0-10 years,0 year,0 year,0 year
425,50-59,Male,Married,No,Travel Rarely,Far,Research & Development,Master,Life Sciences,Medium,Medium,Lvl 4,Manager,High,88,1099,17046,9314,0,No,15,Excellent,Medium,80,Lvl 1,21-29 years,2 years,Better,21-29 years,10 years,15 years,7 years
426,30-39,Female,Single,No,Non Travel,Very Close,Research & Development,Bachelor,Medical,High,High,Lvl 1,Laboratory Technician,Very High,49,1116,2564,7181,0,No,14,Excellent,High,80,Lvl 0,11-20 years,2 years,Good,11-20 years,7 years,6 years,7 years
427,60+,Female,Married,No,Travel Frequently,Far,Sales,Bachelor,Marketing,High,Medium,Lvl 3,Sales Executive,Low,80,1499,10266,2845,4,No,19,Excellent,Very High,80,Lvl 0,21-29 years,5 years,Best,11-20 years,13 years,13 years,11 years
428,40-49,Female,Divorced,No,Travel Rarely,Very Close,Research & Development,College,Medical,Low,High,Lvl 2,Manufacturing Director,Very High,65,983,5070,7389,5,No,13,Excellent,High,80,Lvl 3,21-29 years,2 years,Better,0-10 years,0 year,0 year,4 years
429,40-49,Male,Married,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,Low,High,Lvl 4,Research Director,High,51,1009,17861,2288,6,No,13,Excellent,High,80,Lvl 0,21-29 years,2 years,Bad,0-10 years,2 years,0 year,1 years
430,30-39,Male,Single,No,Travel Rarely,Far,Research & Development,Bachelor,Life Sciences,Very High,Low,Lvl 1,Laboratory Technician,High,46,144,4230,19225,0,No,15,Excellent,High,80,Lvl 0,0-10 years,2 years,Better,0-10 years,4 years,4 years,3 years
431,50-59,Female,Single,No,Travel Rarely,Very Close,Research & Development,Master,Life Sciences,High,High,Lvl 2,Laboratory Technician,High,42,548,3780,23428,7,No,11,Excellent,High,80,Lvl 0,11-20 years,3 years,Better,0-10 years,0 year,0 year,0 year
432,30-39,Male,Divorced,No,Travel Rarely,Very Close,Research & Development,Master,Life Sciences,Very High,Medium,Lvl 1,Research Scientist,High,62,1303,2768,8416,3,No,12,Excellent,High,80,Lvl 1,11-20 years,3 years,Better,0-10 years,3 years,5 years,7 years
433,40-49,Female,Married,No,Travel Rarely,Very Close,Sales,Bachelor,Marketing,High,Medium,Lvl 3,Sales Executive,Very High,94,1125,9071,11563,2,Yes,19,Excellent,High,80,Lvl 1,11-20 years,3 years,Better,0-10 years,2 years,1 years,2 years
434,30-39,Male,Divorced,No,Travel Rarely,Very Close,Research & Development,Below College,Life Sciences,High,High,Lvl 3,Manufacturing Director,Medium,33,1274,10648,14394,1,No,25,Outstanding,Very High,80,Lvl 1,11-20 years,6 years,Best,11-20 years,8 years,0 year,8 years
435,30-39,Male,Married,Yes,Travel Rarely,Close,Research & Development,Below College,Medical,Medium,High,Lvl 3,Manager,High,56,1277,13610,24619,7,Yes,12,Excellent,Very High,80,Lvl 0,11-20 years,2 years,Best,0-10 years,6 years,7 years,7 years
436,30-39,Male,Divorced,Yes,Travel Rarely,Very Close,Research & Development,Below College,Medical,Low,Low,Lvl 1,Laboratory Technician,Very High,38,587,3408,6705,7,No,13,Excellent,Low,80,Lvl 3,0-10 years,2 years,Better,0-10 years,3 years,1 years,3 years
437,30-39,Male,Single,No,Travel Rarely,Very Close,Sales,Below College,Marketing,Very High,High,Lvl 1,Sales Representative,Medium,57,413,2983,18398,0,No,14,Excellent,Low,80,Lvl 0,0-10 years,3 years,Better,0-10 years,2 years,1 years,2 years
438,30-39,Male,Married,No,Travel Rarely,Close,Research & Development,Bachelor,Life Sciences,Very High,High,Lvl 3,Healthcare Representative,High,72,1276,7632,14295,4,Yes,12,Excellent,High,80,Lvl 0,11-20 years,2 years,Better,0-10 years,7 years,0 year,0 year
439,30-39,Male,Married,Yes,Travel Frequently,Far,Research & Development,Bachelor,Life Sciences,Low,High,Lvl 3,Healthcare Representative,High,66,534,9824,22908,3,No,12,Excellent,Low,80,Lvl 0,11-20 years,2 years,Better,0-10 years,0 year,0 year,0 year
440,30-39,Female,Divorced,Yes,Travel Frequently,Far,Human Resources,Bachelor,Human Resources,Medium,High,Lvl 3,Human Resources,Low,43,988,9950,11533,9,Yes,15,Excellent,High,80,Lvl 3,11-20 years,2 years,Better,0-10 years,2 years,0 year,2 years
441,40-49,Male,Married,No,Travel Frequently,Very Close,Research & Development,College,Other,Medium,High,Lvl 1,Laboratory Technician,High,97,1474,2093,9260,4,No,17,Excellent,Very High,80,Lvl 1,0-10 years,4 years,Better,0-10 years,2 years,2 years,0 year
442,30-39,Male,Single,No,Non Travel,Very Close,Sales,Master,Medical,Medium,High,Lvl 3,Sales Executive,Very High,32,635,9980,15318,1,No,14,Excellent,Very High,80,Lvl 0,11-20 years,3 years,Good,11-20 years,3 years,9 years,7 years
443,20-29,Male,Single,Yes,Travel Frequently,Very Close,Research & Development,Below College,Technical Degree,High,Medium,Lvl 1,Laboratory Technician,High,99,1368,3894,9129,5,No,16,Excellent,High,80,Lvl 0,0-10 years,3 years,Better,0-10 years,2 years,1 years,2 years
444,40-49,Female,Married,No,Travel Rarely,Very Close,Sales,Doctor,Marketing,Medium,High,Lvl 2,Sales Executive,Very High,37,163,4051,19658,2,No,14,Excellent,Low,80,Lvl 1,11-20 years,2 years,Better,0-10 years,7 years,6 years,7 years
445,50-59,Female,Single,No,Travel Rarely,Close,Sales,Doctor,Life Sciences,Low,High,Lvl 4,Manager,Medium,83,1117,16835,9873,3,No,23,Outstanding,Very High,80,Lvl 0,31-40 years,2 years,Better,11-20 years,9 years,7 years,7 years
446,40-49,Male,Single,No,Non Travel,Very Close,Sales,College,Life Sciences,Very High,High,Lvl 2,Sales Executive,Very High,56,267,6230,13430,7,No,14,Excellent,Very High,80,Lvl 0,11-20 years,3 years,Better,11-20 years,3 years,1 years,10 years
447,30-39,Male,Married,No,Travel Rarely,Very Close,Sales,Bachelor,Marketing,Medium,High,Lvl 2,Sales Executive,High,85,619,4717,18659,9,No,11,Excellent,High,80,Lvl 0,11-20 years,2 years,Better,11-20 years,9 years,6 years,9 years
448,40-49,Female,Single,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,Medium,High,Lvl 4,Manufacturing Director,High,75,302,13237,20364,7,No,15,Excellent,High,80,Lvl 0,21-29 years,3 years,Better,21-29 years,6 years,5 years,13 years
449,30-39,Female,Married,No,Travel Frequently,Very Close,Research & Development,Below College,Life Sciences,High,High,Lvl 1,Laboratory Technician,High,48,443,3755,17872,1,No,11,Excellent,Low,80,Lvl 1,0-10 years,3 years,Better,0-10 years,3 years,0 year,7 years
450,30-39,Male,Single,No,Travel Rarely,Very Close,Sales,Below College,Life Sciences,Medium,High,Lvl 2,Sales Executive,Very High,77,828,6582,8346,4,Yes,13,Excellent,High,80,Lvl 0,11-20 years,2 years,Best,0-10 years,5 years,0 year,5 years
451,40-49,Male,Married,No,Travel Rarely,Far,Research & Development,Bachelor,Medical,Very High,High,Lvl 3,Manufacturing Director,Low,56,319,7406,6950,1,Yes,21,Outstanding,Very High,80,Lvl 1,11-20 years,5 years,Good,11-20 years,9 years,5 years,8 years
452,40-49,Male,Married,No,Travel Rarely,Very Close,Sales,Bachelor,Other,Very High,High,Lvl 2,Sales Executive,Medium,61,561,4805,16177,0,No,19,Excellent,Medium,80,Lvl 1,0-10 years,3 years,Best,0-10 years,7 years,3 years,7 years
453,20-29,Female,Divorced,Yes,Travel Frequently,Close,Human Resources,Master,Life Sciences,Medium,High,Lvl 1,Human Resources,High,58,426,2741,22808,0,Yes,11,Excellent,Medium,80,Lvl 1,0-10 years,2 years,Good,0-10 years,7 years,1 years,0 year
454,20-29,Male,Divorced,No,Travel Rarely,Close,Research & Development,Bachelor,Technical Degree,Very High,High,Lvl 2,Manufacturing Director,Very High,34,232,4262,22645,4,No,12,Excellent,Medium,80,Lvl 2,0-10 years,2 years,Best,0-10 years,2 years,1 years,2 years
455,30-39,Female,Divorced,No,Travel Rarely,Very Close,Research & Development,Doctor,Medical,Low,Very High,Lvl 4,Research Director,High,95,922,16184,22578,4,No,19,Excellent,High,80,Lvl 1,11-20 years,2 years,Better,0-10 years,1 years,0 year,5 years
456,30-39,Male,Divorced,No,Travel Rarely,Very Close,Sales,Bachelor,Life Sciences,High,Medium,Lvl 3,Manager,Very High,44,688,11557,25291,9,No,21,Outstanding,High,80,Lvl 1,11-20 years,3 years,Good,0-10 years,4 years,0 year,1 years
457,<20,Male,Single,Yes,Travel Frequently,Very Close,Sales,Bachelor,Marketing,Medium,High,Lvl 1,Sales Representative,Medium,69,1306,1878,8059,1,Yes,14,Excellent,Very High,80,Lvl 0,0-10 years,3 years,Better,0-10 years,0 year,0 year,0 year
458,40-49,Male,Divorced,No,Non Travel,Far,Sales,Bachelor,Other,High,Low,Lvl 3,Sales Executive,Low,58,1094,10932,11373,3,No,15,Excellent,High,80,Lvl 1,21-29 years,2 years,Better,0-10 years,0 year,0 year,1 years
459,40-49,Female,Single,No,Non Travel,Very Close,Research & Development,Master,Other,Low,Medium,Lvl 2,Healthcare Representative,High,62,509,6811,2112,2,Yes,17,Excellent,Low,80,Lvl 0,11-20 years,3 years,Better,0-10 years,7 years,0 year,7 years
460,20-29,Male,Divorced,No,Travel Rarely,Far,Sales,College,Medical,Low,High,Lvl 2,Sales Executive,High,45,775,4306,4267,5,No,12,Excellent,Low,80,Lvl 2,0-10 years,5 years,Better,0-10 years,0 year,0 year,0 year
461,30-39,Female,Single,No,Travel Rarely,Very Close,Sales,Bachelor,Medical,Low,High,Lvl 2,Sales Executive,High,80,195,4859,6698,1,No,16,Excellent,Very High,80,Lvl 0,0-10 years,3 years,Better,0-10 years,4 years,0 year,3 years
462,30-39,Male,Single,No,Travel Rarely,Far,Sales,Master,Life Sciences,Very High,Very High,Lvl 2,Sales Executive,Very High,74,258,5337,19921,1,No,12,Excellent,Very High,80,Lvl 0,11-20 years,3 years,Better,11-20 years,7 years,5 years,7 years
463,20-29,Male,Single,Yes,Travel Rarely,Far,Research & Development,Bachelor,Technical Degree,High,Low,Lvl 1,Laboratory Technician,Very High,66,471,2340,23213,1,Yes,18,Excellent,Medium,80,Lvl 0,0-10 years,3 years,Bad,0-10 years,0 year,0 year,0 year
464,30-39,Female,Single,No,Travel Rarely,Very Close,Research & Development,Bachelor,Technical Degree,Medium,High,Lvl 3,Manufacturing Director,Very High,59,799,7491,23848,4,No,17,Excellent,Very High,80,Lvl 0,11-20 years,3 years,Best,0-10 years,5 years,1 years,2 years
465,40-49,Female,Married,No,Travel Frequently,Close,Research & Development,Below College,Medical,Low,High,Lvl 3,Healthcare Representative,High,86,1034,10527,8984,5,No,11,Excellent,Very High,80,Lvl 0,21-29 years,3 years,Good,0-10 years,2 years,1 years,2 years
466,40-49,Female,Married,No,Travel Rarely,Very Close,Sales,Doctor,Life Sciences,Medium,High,Lvl 4,Manager,Low,91,1276,16595,5626,7,No,16,Excellent,Medium,80,Lvl 1,21-29 years,2 years,Better,11-20 years,16 years,11 years,8 years
467,30-39,Male,Divorced,No,Non Travel,Very Close,Sales,Master,Medical,Low,High,Lvl 3,Sales Executive,Medium,69,142,8834,24666,1,No,13,Excellent,Very High,80,Lvl 1,0-10 years,6 years,Better,0-10 years,5 years,7 years,7 years
468,50-59,Male,Divorced,No,Travel Rarely,Very Close,Research & Development,College,Technical Degree,Very High,High,Lvl 2,Research Scientist,Low,78,956,5577,22087,3,Yes,12,Excellent,Medium,80,Lvl 2,11-20 years,3 years,Better,11-20 years,9 years,6 years,9 years
469,30-39,Male,Married,Yes,Non Travel,Close,Sales,Master,Other,Very High,Very High,Lvl 2,Sales Executive,High,60,1474,4707,23914,8,No,12,Excellent,Very High,80,Lvl 0,0-10 years,2 years,Better,0-10 years,2 years,1 years,2 years
470,20-29,Male,Married,No,Travel Frequently,Far,Sales,Bachelor,Medical,Very High,High,Lvl 1,Sales Representative,Very High,38,535,2400,5530,0,No,13,Excellent,High,80,Lvl 2,0-10 years,3 years,Better,0-10 years,2 years,2 years,1 years
471,30-39,Female,Married,No,Travel Rarely,Very Close,Research & Development,Bachelor,Medical,High,High,Lvl 2,Healthcare Representative,High,76,1495,9824,22174,3,No,19,Excellent,High,80,Lvl 1,11-20 years,4 years,Better,0-10 years,0 year,0 year,0 year
472,30-39,Female,Married,No,Travel Rarely,Very Close,Research & Development,Master,Life Sciences,Medium,High,Lvl 2,Manufacturing Director,Medium,65,446,6447,15701,6,No,12,Excellent,Medium,80,Lvl 1,0-10 years,2 years,Good,0-10 years,5 years,4 years,3 years
473,40-49,Male,Divorced,No,Travel Rarely,Close,Research & Development,Master,Life Sciences,Very High,Medium,Lvl 5,Research Director,High,58,1245,19502,2125,1,Yes,17,Excellent,High,80,Lvl 1,31-40 years,5 years,Better,31-40 years,9 years,0 year,9 years
474,20-29,Male,Married,No,Travel Rarely,Far,Research & Development,Bachelor,Medical,Medium,Very High,Lvl 1,Research Scientist,Very High,89,691,2725,21630,1,Yes,11,Excellent,Medium,80,Lvl 2,0-10 years,3 years,Better,0-10 years,5 years,1 years,4 years
475,20-29,Male,Married,No,Travel Rarely,Far,Sales,College,Marketing,Low,High,Lvl 2,Sales Executive,Medium,66,703,6272,7428,1,No,20,Outstanding,Very High,80,Lvl 2,0-10 years,5 years,Best,0-10 years,3 years,1 years,4 years
476,20-29,Male,Married,No,Travel Rarely,Close,Research & Development,College,Other,Very High,Medium,Lvl 1,Laboratory Technician,Medium,94,823,2127,9100,1,No,21,Outstanding,Very High,80,Lvl 1,0-10 years,2 years,Better,0-10 years,0 year,0 year,0 year
477,50-59,Male,Married,No,Travel Frequently,Very Close,Human Resources,Bachelor,Medical,Low,High,Lvl 5,Manager,Medium,99,1246,18200,7999,1,No,11,Excellent,High,80,Lvl 1,31-40 years,2 years,Better,31-40 years,5 years,10 years,7 years
478,20-29,Male,Married,No,Travel Rarely,Close,Sales,Below College,Medical,Medium,High,Lvl 1,Sales Representative,High,40,622,2096,26376,1,No,11,Excellent,High,80,Lvl 0,0-10 years,1 years,Better,0-10 years,4 years,0 year,6 years
479,20-29,Female,Married,Yes,Travel Frequently,Very Close,Research & Development,Bachelor,Life Sciences,Low,High,Lvl 1,Laboratory Technician,High,55,1287,2886,14168,1,Yes,16,Excellent,Very High,80,Lvl 1,0-10 years,4 years,Better,0-10 years,3 years,1 years,2 years
480,30-39,Male,Married,Yes,Travel Frequently,Close,Sales,Master,Life Sciences,Medium,Medium,Lvl 1,Sales Representative,Low,74,448,2033,14470,1,No,18,Excellent,High,80,Lvl 1,0-10 years,2 years,Best,0-10 years,0 year,0 year,0 year
481,30-39,Male,Married,No,Travel Rarely,Very Close,Research & Development,College,Life Sciences,Medium,Medium,Lvl 1,Research Scientist,Very High,83,254,3622,22794,1,Yes,13,Excellent,Very High,80,Lvl 1,0-10 years,3 years,Better,0-10 years,5 years,1 years,3 years
482,30-39,Male,Divorced,Yes,Travel Rarely,Close,Sales,Master,Medical,Medium,High,Lvl 2,Sales Executive,Low,46,1365,4233,11512,2,No,17,Excellent,High,80,Lvl 0,0-10 years,2 years,Bad,0-10 years,1 years,1 years,2 years
483,30-39,Male,Single,No,Travel Rarely,Far,Research & Development,College,Other,Low,Medium,Lvl 2,Laboratory Technician,Very High,54,538,3681,14004,4,No,14,Excellent,Very High,80,Lvl 0,0-10 years,3 years,Better,0-10 years,2 years,0 year,2 years
484,30-39,Male,Divorced,No,Travel Rarely,Very Close,Sales,Master,Medical,Low,Very High,Lvl 2,Sales Executive,Very High,66,525,5460,6219,4,No,22,Outstanding,Very High,80,Lvl 2,11-20 years,4 years,Best,0-10 years,7 years,5 years,7 years
485,20-29,Female,Divorced,No,Travel Rarely,Very Close,Research & Development,Master,Medical,Low,Medium,Lvl 1,Research Scientist,High,66,798,2187,5013,0,No,12,Excellent,High,80,Lvl 2,0-10 years,5 years,Good,0-10 years,3 years,0 year,3 years
486,30-39,Male,Married,No,Travel Rarely,Very Close,Sales,Bachelor,Marketing,Very High,High,Lvl 2,Sales Executive,High,75,558,9602,3010,4,Yes,11,Excellent,High,80,Lvl 1,11-20 years,3 years,Good,0-10 years,0 year,1 years,0 year
487,20-29,Female,Single,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,Very High,Medium,Lvl 1,Research Scientist,Medium,83,959,2836,11757,1,No,13,Excellent,Very High,80,Lvl 0,0-10 years,0 year,Best,0-10 years,0 year,0 year,0 year
488,40-49,Female,Married,No,Travel Rarely,Very Close,Research & Development,Master,Life Sciences,High,High,Lvl 2,Healthcare Representative,Very High,81,622,4089,5718,1,No,13,Excellent,Medium,80,Lvl 2,11-20 years,4 years,Better,11-20 years,2 years,2 years,2 years
489,40-49,Male,Divorced,No,Travel Rarely,Very Close,Research & Development,Master,Other,Medium,Medium,Lvl 4,Research Director,Very High,50,782,16627,2671,4,Yes,14,Excellent,High,80,Lvl 1,21-29 years,3 years,Good,0-10 years,0 year,0 year,0 year
490,30-39,Female,Single,No,Travel Rarely,Very Close,Research & Development,Below College,Life Sciences,High,High,Lvl 1,Research Scientist,Low,43,362,2619,14561,3,No,17,Excellent,Very High,80,Lvl 0,0-10 years,3 years,Good,0-10 years,0 year,0 year,0 year
491,40-49,Male,Divorced,No,Travel Frequently,Very Close,Research & Development,Doctor,Medical,Very High,High,Lvl 2,Laboratory Technician,High,72,1001,5679,19627,3,Yes,13,Excellent,Medium,80,Lvl 1,11-20 years,3 years,Better,0-10 years,7 years,4 years,7 years
492,40-49,Female,Married,No,Travel Rarely,Very Close,Research & Development,Master,Life Sciences,Very High,Medium,Lvl 4,Manager,Low,40,1236,15402,17997,7,No,11,Excellent,Low,80,Lvl 1,21-29 years,3 years,Bad,0-10 years,2 years,0 year,2 years
493,40-49,Female,Single,No,Travel Rarely,Very Close,Human Resources,Master,Life Sciences,Low,Medium,Lvl 2,Human Resources,High,50,1112,5985,26894,4,No,11,Excellent,Medium,80,Lvl 0,11-20 years,1 years,Best,0-10 years,2 years,0 year,2 years
